system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
91,730.0,-184.0,914.0,0.3095843934225681,0.8024459,0.295302,-0.295302,0.4411027563394702,-0.9201892612878319,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9201892612878319]}"
92,620.0,-101.20000000000005,721.2,0.274336283064453,0.7836515,0.23924269,-0.23924269,0.35459183628240837,-0.9201892612878319,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9201892612878319]}"
93,608.0,-126.20000000000005,734.2,0.27586206884035297,0.7908629,0.26098654,-0.26098654,0.3991769541849425,-0.9201892612878319,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9201892612878319]}"
94,481.0,13.399999999999977,467.60000000000014,0.18062335704820753,0.7246202,0.15843773,-0.15843773,0.25686977269191186,-0.9200994297594198,-48.59315256881195,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59315256881195,-0.9200994297594198]}"
95,796.0,-218.4000000000001,1014.4000000000001,0.31738436988940016,0.81909126,0.31111112,-0.31111112,0.46778042903606154,-0.9200994297594198,-48.59306273728354,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59306273728354,-0.9200994297594198]}"
96,756.0,-205.60000000000002,961.6000000000001,0.30483870955450054,0.8124048,0.30483872,-0.30483872,0.46724350992924163,-0.9200994297594198,-48.59297290575513,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59297290575513,-0.9200994297594198]}"
97,809.0,-226.0,1035.0,0.3306089087328938,0.81448764,0.31928688,-0.31928688,0.4718562868600524,-0.9200994297594198,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9200994297594198]}"
98,706.0,-161.60000000000002,867.6000000000001,0.2895816241634202,0.7909048,0.27597404,-0.27597404,0.418719211306996,-0.9200994297594198,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9200994297594198]}"
99,602.0,-67.40000000000009,669.4000000000001,0.2531539107429967,0.76063305,0.21236777,-0.21236777,0.3163636359801653,-0.9200994297594198,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9200994297594198]}"
100,654.0,-104.40000000000009,758.4000000000001,0.2704714639079936,0.7700146,0.23671497,-0.23671497,0.3525179851888274,-0.9200994297594198,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9200994297594198]}"
101,665.0,-143.4000000000001,808.4000000000001,0.2809463454664359,0.7884847,0.26649958,-0.26649958,0.4063694262339243,-0.9200994297594198,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9200994297594198]}"
102,575.0,-120.20000000000005,695.2,0.2631578946164037,0.7943925,0.2579763,-0.2579763,0.40486409098016585,-0.9200994297594198,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9200994297594198]}"
103,535.0,-51.0,586.0,0.2142571084444305,0.76117283,0.20031671,-0.20031671,0.3214739513068946,-0.9200095982310079,-48.59315256881195,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59315256881195,-0.9200095982310079]}"
