system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
118,79.752525,-50.912243,130.66476,0.18193121,0.41812038,-0.41812038,1.5413951,133.55373,137.62029,61.93432,-0.9194071118832466,-48.59337160265705,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59337160265705,-0.9194071118832466]}"
119,67.96543,-41.383892,109.34932,0.14411479,0.36510623,-0.36510623,1.5423902,151.20325,147.47346,75.77827,-0.9194070814028609,-48.593326703077764,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593326703077764,-0.9194070814028609]}"
120,57.75563,-35.683434,93.439064,0.11858492,0.33705744,-0.33705744,1.4984293,159.60385,149.23325,81.10701,-0.9194070509219076,-48.59328180349997,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328180349997,-0.9194070509219076]}"
121,66.48227,-41.858112,108.340385,0.13306332,0.35857835,-0.35857835,1.5081598,161.43147,154.01175,80.10974,-0.9194070204403872,-48.59323690392366,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59323690392366,-0.9194070204403872]}"
122,64.78376,-42.573853,107.35761,0.13675906,0.37621853,-0.37621853,1.8165857,155.35782,147.56909,74.9966,-0.9194069899582993,-48.59319200434885,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319200434885,-0.9194069899582993]}"
123,61.603287,-39.49053,101.09381,0.12686998,0.36076668,-0.36076668,1.717535,160.63182,150.91035,79.58559,-0.9194069594756441,-48.59314710477551,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314710477551,-0.9194069594756441]}"
124,57.830605,-36.945957,94.776566,0.12184028,0.3545349,-0.3545349,1.6367171,157.72218,147.12663,78.700485,-0.9194069289924213,-48.59310220520368,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59310220520368,-0.9194069289924213]}"
125,56.0475,-36.611237,92.65874,0.1184687,0.35100996,-0.35100996,1.6770973,156.92195,145.30333,77.63721,-0.9194068985086321,-48.59305730563333,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59305730563333,-0.9194068985086321]}"
126,55.466167,-37.86968,93.335846,0.12145525,0.3601063,-0.3601063,1.671698,150.03824,138.79805,72.09169,-0.9194068680242754,-48.593012406064474,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593012406064474,-0.9194068680242754]}"
127,57.002937,-40.854427,97.85737,0.13516848,0.3947854,-0.3947854,1.862773,138.81496,129.6059,63.39391,-0.9194068375393505,-48.5929675064971,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5929675064971,-0.9194068375393505]}"
